MedInc,HouseAge,AveRooms,Population,Latitude,Longitude,price
-0.5650072,0.16261326,-0.6404421,-0.534324,-1.323641,0.8481468,False
5.9300385,0.6864956,1.4388355,-0.9119636,-0.83232176,0.5007226,True
-0.4396941,-1.406122,-0.36052454,0.49210462,-1.1140369,1.074542,False
-0.15069588,-0.32039297,-0.08359632,0.7832662,-0.87760437,0.8924613,False
-0.94937134,0.29449958,-0.12841925,-0.7164601,0.1681805,0.24731188,False
-0.43874562,0.35762385,0.040023282,-0.37400675,0.75776607,-1.2957578,False
1.8831956,0.038458884,0.9744425,1.321552,-0.4039725,0.54818463,True
0.9639377,-1.233867,0.645982,-0.4575232,-1.0902039,0.62549174,True
0.45620275,0.9362389,0.5577208,-0.2824688,-0.5492139,0.6170226,True
-0.3196287,-0.4434756,0.20405382,-0.5041758,1.7760805,-1.1820139,False
-0.05478723,0.002615109,0.39873385,-0.26502898,1.232088,-1.6401861,True
0.46832138,-2.3420336,0.023196816,1.5934744,-0.89046425,0.6953256,False
0.23163426,0.3194252,0.2776976,-0.7802599,0.730726,-1.0375273,True
0.32402974,-0.096557826,-0.55383015,0.76976776,-1.1185812,0.58344924,True
-0.77263033,-1.1168531,0.1052071,1.955314,-0.62956834,1.2132392,False
-0.8501036,0.275539,-0.8103932,0.3027628,-0.4786795,0.46009165,True
1.05057,-1.2445643,0.40367895,-0.46194845,1.4426051,-1.1842067,True
-0.4434407,1.9569097,-0.46626398,-0.4101953,1.4413474,-1.3751101,True
-1.0002785,-0.07053292,0.15082586,0.9970911,-0.57291436,1.187179,False
0.60286397,-0.46464744,0.75556666,-0.7786462,0.16636664,0.31040305,False
-0.7474768,0.7350129,-0.17063558,-0.18770792,0.78992295,0.13295627,False
-0.5691159,-0.8049464,-0.016403724,1.2674621,0.5266642,-0.39922202,False
-0.27178067,-0.5714426,0.15579529,-0.15707752,1.323153,-1.3608754,True
-0.33344567,-0.09880325,-0.59824187,-0.83079857,-1.6206474,1.5103981,True
-0.32266524,0.5827326,-0.83183986,-0.86420715,0.8429239,-1.519171,True
3.8100383,1.8100111,1.1313238,-1.183249,1.0288733,-1.5437901,True
-0.33295628,-1.6517147,-0.011888206,-0.15598777,-0.93620753,1.0941006,False
0.99098396,-1.7100214,0.2726475,0.034540445,-0.31549567,0.9088812,False
0.6264039,-0.369234,0.7904367,-0.51503426,1.4053544,-1.126673,False
1.3733494,-0.45873204,0.8976799,-0.26268962,1.1272503,-1.7075918,True
-0.023927867,0.83116746,0.092585824,0.32991666,-0.7116804,0.92087644,True
0.89764136,0.54736316,-0.004269868,-0.37680957,0.77251375,-1.3705361,True
-0.702681,1.2341367,-0.58471775,-0.9736356,-0.632437,1.1053479,False
-1.762762,-0.6179941,-1.5411799,-0.84487844,1.5116558,-0.5094651,False
-0.06989947,0.66542685,0.2204269,-0.56754684,-0.71719134,0.949528,True
1.0336397,-0.716274,0.5770205,-0.06305044,-0.8418715,1.2023667,False
1.3601241,0.22430485,-0.033191264,-0.87157524,0.17108569,-0.9169953,True
-0.48979628,-0.37892628,0.4187799,-0.689358,0.3090999,-0.18569648,False
0.96952105,-0.6509999,1.0168829,1.6629616,-0.24345216,-0.071568936,True
0.7857896,-0.7984442,0.45233637,0.25771916,-0.3410563,0.50721955,False
-1.1204005,-0.525192,0.7725443,-0.33246678,1.653221,-0.2383023,False
-0.19501531,-1.8932871,0.060857236,0.058763072,1.9394062,-1.1489775,False
0.045727246,1.0606555,0.058909565,-0.31629476,0.6484451,-1.3655283,True
0.20388603,-0.62714577,0.3244733,0.99144584,-1.640852,1.482918,True
-0.059752587,0.3383541,0.023007989,0.68793154,-0.5291508,0.23868096,True
1.8249686,1.0638909,0.6216955,0.38180465,1.1840285,-1.1150879,True
-0.9359294,0.23358986,0.23102276,0.22051877,-0.6981345,0.52385473,False
0.21891844,-1.3319907,-0.63805044,1.9211578,1.3018472,-1.313595,False
-0.19038194,0.6887335,-0.62053275,-0.3173991,0.6402787,-0.90067047,False
0.087163046,0.5575442,0.04774601,0.21344014,-0.46252942,-0.18533248,True
1.3499737,0.5358019,0.19586974,0.33922607,0.6670035,-1.403161,True
0.19177091,2.1475036,-0.34937525,-0.057367504,0.98708165,-1.3626279,True
1.0035359,0.15281825,0.21429272,-0.2518232,-1.2264336,0.7416669,True
-1.4549055,-0.119025245,-0.69831806,0.6093499,1.4105123,-0.95115185,False
-0.14539692,1.2513692,0.30700237,-0.6626206,-0.7783159,0.5404238,True
-0.35365182,0.61358494,-0.5539834,-0.8679474,-1.3873806,0.67977166,True
-0.6223227,0.07281953,0.3394211,-0.57192755,-0.7527027,0.70214224,False
-0.81591195,1.6844877,-0.53117293,0.013589411,1.3206576,-1.0872494,True
-0.17717312,-1.7879286,0.27521846,2.5170357,-1.3269794,1.4020094,True
0.7642117,0.77207696,0.22893149,-0.47752956,-0.249457,1.5817366,False
-0.2991399,-0.2623098,-0.38699508,0.7790363,-0.7186713,0.46852252,True
-0.84370536,0.8232751,-1.114339,-0.43312186,-0.86896574,1.0589007,False
-0.75153214,0.3184942,-1.1032246,0.8555506,-0.25524357,0.8721214,False
0.17353228,0.28659913,-0.5214392,-1.1313485,0.9713768,-1.4249206,True
-0.29529446,-0.11897963,-0.44015685,-0.48798075,0.98410463,-1.0819001,True
-0.42081776,-1.0639433,-0.408111,0.1577459,-0.052683204,-0.40869218,False
-0.42775962,-0.43047768,-0.83537376,0.04148677,-0.51597905,0.5704055,True
1.1777741,-1.3318856,0.44556546,1.5921426,1.0636582,-0.54750484,False
1.4487996,-1.995215,-0.1473368,-0.59707075,1.0595638,-1.6113331,False
-1.2369462,0.66452163,-0.65332717,0.10125165,0.5255184,-0.31062555,False
-1.0853748,-0.95906,-0.11949088,-0.9447937,-1.0212777,1.4295676,True
0.4684756,-0.51698947,0.32991886,-0.105979264,-1.1622851,1.3598448,False
-0.57105744,1.000432,0.012480453,-0.34924984,-0.48562312,0.6874168,False
-0.14123693,1.5423099,-1.2369374,0.21792349,-0.9982876,0.52138513,True
-0.10813888,-0.33030644,-1.0809298,0.44970527,-0.746198,0.7785164,False
0.1799849,-0.48084423,-0.028195083,-0.57182217,0.22676304,-1.2993478,True
0.11939965,-0.6367787,-0.09890556,0.59304124,-0.9290189,1.2165012,False
-0.8001417,1.6199776,-0.16192283,-0.98459506,0.95345914,-0.49953097,False
