,0,1,2,3,4
0,6564.10120145531,6518.445200308084,6565.872978086578,6614.167887105769,6629.485896230271
1,33023858577.613297,3271780.0240222355,3202680.024471704,3193162.7336946568,3244456.1641882863
2,7355.295072760939,6203.5567870878385,6694.619513323832,6764.397267502706,6738.38502797437
3,8319.772785300916,6649.866760780502,6725.30519052371,6750.690243657749,6652.719342069142
4,7341.480164005083,8084.419324335969,8183.980465894247,8069.14568178632,10405.710977101842
5,6309.1253753323845,6602.841937830799,6561.458349034604,6643.368263536728,6544.16452316634
6,6772.827429262362,6789.887162457444,6787.347168579703,6846.467112828163,6818.923483510922
7,10443.547590246846,6974.7993806368695,6965.9615297566415,7075.873406267383,7018.549935597025
8,55019.63087533527,6416.2989486387205,6608.297548313328,6666.682384975397,6699.304399381528
9,4068995949.3321023,3543552.9956539925,3541217.325107438,3559694.036812793,3557984.4217324927
