,age,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,SeriousDlqin2yrs
7634,0.05643038990072541,-0.1824475113897301,0.669137835809775,0.017221810465576227,0
13769,1.2766454299202392,-1.1191540288450446,-1.3486062286945102,-1.058830958774512,1
3051,-0.1485802361250108,-0.2226001887093467,-0.7856327348002051,-1.015485863772929,0
12229,0.1091719986878765,1.3162353122619823,1.3415671058118148,1.4767631218129564,1
578,-1.525587637578374,0.09032273267244798,-0.1456746588016192,0.604712394912033,0
14666,0.7981747150874764,-0.09338867942669365,-0.032276302489839315,0.5824080524279643,1
10421,-0.0011297198659832308,1.1199236319503538,0.9493010374921863,1.6623357450327714,1
10231,0.4183924933368226,0.4651373858253961,2.6127932964609344,0.7356496145929033,1
13709,-0.7540138435636031,0.912207927844759,2.571284088744246,0.7712368962271381,1
1090,0.4703723009213738,2.8964952909663393,1.1306820088582636,0.8363236179762813,0
8272,-0.01118104716322349,1.0315608625974846,-0.11628376697295972,0.18670463200622853,0
3894,-0.37231205557210945,0.4813630450431086,-0.10587638260769539,0.7539851248098537,0
6236,-0.4378798926313936,-0.6820743576047107,-0.5991070524963515,-0.5954838246092938,0
7887,0.3855460475258362,0.6694668959100937,0.5323643042029048,0.7419209546078789,0
15963,-0.20196533085757326,-0.5032411998069668,-0.6993011888461018,0.22231654271954884,1
9982,-0.7028082573035208,0.43491011606658914,0.5223479389629411,3.133121120099065,1
5877,-0.5251860523459576,-0.3977658164647243,-0.3913643871919072,-0.24793479599015206,0
14014,-1.5488969330647948,-0.8114575303898849,-0.8595847196772989,-1.0221532226631662,1
10911,-0.5582319006967633,-0.8034817717186179,-0.949500364075829,-1.0406506096419126,1
11986,1.651916934070197,-0.7471957069382154,-1.624930594479571,-0.7845820161125896,1
15568,-1.1888934178801431,-0.8914822315970096,-1.480390741759242,-0.7260624711749156,1
16203,-1.1516706913902792,-0.20375436091773858,-0.7639852855320094,-0.7543827390128595,1
15501,-1.1281844627854714,0.015416318547228969,-0.4560952934483094,0.7106131918165974,1
1783,-1.3656305731760316,0.4589073228578557,0.9206672237626138,-0.02352404618084028,0
13018,0.7118372763462484,-0.14812401674346248,-0.2782582345074815,-0.2597893822642608,1
11233,0.4438384546708273,0.2475650154655061,-0.23997084302285013,-0.09191394375770931,1
15561,0.002992183218325839,-0.10630487812425482,-0.8418491323750702,0.9159742471590107,1
10853,-0.229018623447584,-0.419596958575205,-0.020503267617515586,-0.9027470386812315,1
12153,-0.4436326095402661,-0.11459614749790614,1.6734887008664545,0.7925983877190371,1
1785,0.6748536851577366,-0.5836997629487408,0.4757999719765613,0.8714761878397671,0
14246,0.20696689469551094,0.14237282754181707,0.061156224503555554,0.3649800533992118,1
15867,-1.5714175112672966,-0.7146906684759209,-0.5409499631750071,-1.0488257909790215,1
10901,-1.522966995066627,-0.3681636193482429,-0.9986451462666498,-0.5332739193063993,1
9858,-1.4432248836748476,-0.598053854771827,-0.7506737325378241,-0.8166183160662892,1
13641,-0.701012947802239,-0.18547588878617594,-0.0018073479173663226,2.0162594563457312,1
9376,0.21123284782787802,0.5374139839771856,1.4582716354519392,0.5109556633612888,1
14763,1.0171952401373892,0.09537950014566021,2.287431715052187,-0.02883094875191142,1
4157,-0.2933270481297493,0.3561095768590561,1.4889993551923661,0.5009553191769782,0
449,0.29074838419465254,0.6859315974718159,-0.34864595326746345,-0.3300877103567276,0
13413,-1.0111313722865423,0.41452874036263354,1.2801611935193113,6.075531580904687,1
6672,-1.4997412504032774,-0.5242024527320414,-1.1129893577231569,-0.8063354363633549,0
13578,0.7385110771391504,0.02271173777098029,0.32223533328780857,0.24596499314656053,1
13954,-0.30194612561218337,1.7071583212688914,2.097073921524619,0.879048019873303,1
519,-0.5417446664939232,-0.38806321167628527,0.1333402764769857,0.4419750808790162,0
16263,-0.42456822349223733,5.232044927553147,4.581579371314096,18.90660951071149,1
3435,0.1040086757571075,0.27330281346384133,0.792482184255799,-0.04332920486759695,0
13169,-1.1752907022213903,-0.5276958027333555,0.4709065865090706,-0.07224335081901037,1
9091,1.0237138465190716,-0.7042453012801323,-1.2616047584985863,-0.6609127684147037,1
12722,0.6091070279010662,-0.7270273281959806,-0.4512262734808725,-0.6571085123804279,1
14435,-0.4618280827152914,0.2622140574217413,0.43915807029391785,-1.0954716633712949,1
7165,0.7832621184282103,-0.0019295931069959332,-0.5654000278433485,0.6646284379629599,0
6820,0.62729946090661,-0.2260279296692414,1.6985910610881023,1.6857387164917397,0
3442,-1.3934597980947054,-0.3725468880239182,-0.7327907878812164,-0.5436042024879321,0
14203,0.8485679862323685,0.32897876888273053,2.230981921542654,6.10300508924726,1
9907,-0.2587770411981984,-0.841245725516678,-1.565072726276942,-0.2351751799821773,1
9586,-1.2822909992744778,0.3612927263525252,0.14667862406125468,2.2934821918198423,1
7103,0.4160825632450487,4.580558715699436,-0.7859992474214031,-0.8610284738973107,0
5863,-1.3854079702387456,-0.4348674926537902,-1.4626605983543768,-0.6347013639119357,0
6481,0.35966237722731675,0.3845690241180332,-0.762483766913452,0.3894935373793939,0
2261,0.958000103420706,-0.35734984051432916,0.3083643566755355,-1.0832593932793024,0
13294,0.7667067628098048,-0.6905517284238125,-0.4727949683121004,-0.5486110163140481,1
6409,2.150837779051171,-0.2413224833678228,1.4411096170668105,-1.0373658114680642,0
9137,-1.0131776089026785,-0.02540008411358865,0.3214141296962982,-0.027725213470782835,1
424,0.2378874749419837,0.6079663606034016,2.162737123879427,0.845102279070361,0
8869,-0.4719079732931156,-0.534505940415092,-0.3427553682355886,0.11089860506966401,1
16009,0.029993534719342158,-0.17313880280481903,0.5921456015333816,-1.1106998680018314,1
2006,0.6693645659759107,0.6395697188678494,0.46524312975783566,0.7533512895738714,0
13870,0.4535962234734684,-0.23274249255811802,0.5842919572839114,0.0676017321942842,1
5111,1.6704560347707236,-0.13416301062230682,-0.5225716171553692,0.9894235652409504,0
8236,0.8280623590577854,-0.44274785629174906,-0.6124589841895245,-0.7797301531195173,0
14595,-0.25983908143179973,3.5929358595299368,-0.12529913226712222,0.0683550496455734,1
