,V1,V2,V3,V4,V5,Class
1670,-0.9004298542225241,-0.8018894010153336,0.5145322185056752,1.8757249456251657,-1.1944031179461654,1
13379,1.0587501444578427,-0.337940340151229,0.8753644275811849,0.3143750247138092,0.8992578398005656,2
10234,0.15384307447453438,1.2937885242639924,0.952423170258737,0.13371705562459543,-0.44701477507834514,2
4719,3.088764528125027,-1.5238234665200268,-0.9310113738718507,-0.8876483072026394,-0.2617106680016306,1
7003,-0.7402626255399345,-0.5333568798948392,-0.5088404202676496,0.4348103574738079,1.4670167505061475,1
2831,1.5251677458387192,0.015390953270393276,-0.5862285007580376,-0.49817547136588686,-0.11717769113361565,1
13014,-1.1815020398851281,-0.5602900414834218,-2.2496058164743284,-1.8577403409078128,-0.7919764281209163,2
11979,1.06309234865979,-0.4167348427566656,-0.3152419628468593,0.2807318841644696,0.5033537877206156,2
8610,-0.39319517459459463,-1.0410780446670538,-0.7053717057118782,1.0648067619978872,-1.6560376239022616,2
519,-0.8767357776082247,-0.4065394785498233,0.04045354070056273,1.4604829000387325,-1.1664406349428151,1
13264,-0.3467489398133041,-0.5985588950732229,-0.5566350361297427,0.7185111391783754,1.4020162940933334,2
7329,-0.22339145754651407,0.6510708342098336,-0.43304878346963294,-1.2126009309461017,-0.6977359863577902,1
452,1.1166431994667065,1.0448791841025955,-0.5493563421900758,-0.32177342660268266,-0.42035010661761696,1
12374,-0.238886670085255,0.08627668232848322,0.9285565844413918,0.7202755123317209,1.3522948905052046,2
4067,-0.5580693414472196,0.3854151455892769,-0.3441676860680502,-1.2759945205127865,-0.31744694115471783,1
10783,-0.6873472660977857,0.3100136735609194,0.765043735432826,1.9906944758353475,-0.0922315556325513,2
575,-0.29080976919346707,2.346468616111807,-1.491681567997293,-0.2874023560278135,-0.01384073434280067,1
10280,-0.35935185064141995,0.20362986601346605,0.419844519010137,1.1917859847861139,-1.017743474298838,2
12986,-0.45501780298166783,-0.639211972569053,1.812956859573683,-1.3661402505974451,0.901320566654764,2
6183,-0.775926764660498,0.24147127038130825,0.908007159311468,-1.276521099337354,-0.7148963363057005,1
11135,-0.08654022868775502,-0.6493251610422469,1.4326941928433898,-1.2309090298388956,-0.29965395199173867,2
5890,-0.3432924779757365,-2.759763838789415,0.13070972631497033,-1.435451630105052,-0.27223045574338234,1
5073,-0.569503693862164,-0.6121893242873773,1.0653486969088932,0.5611309353964362,-0.4684698267447287,1
1844,-0.6778491084446027,0.9646296699833069,1.4148656715645043,-1.1732400796509475,-0.6803008343281511,1
4019,2.426683219156435,-0.7384068657103174,-0.3946854299627795,-0.353279261021581,0.4093930558303678,1
154,0.752774810655224,1.225623983717282,-1.3582948619328459,-0.7514899324046938,-0.3097490966778918,1
14825,-0.25223485949103386,-0.8803859820275821,0.7338248572761925,1.063060134976926,-1.5991742138994143,2
5205,-0.3181925068437922,1.2425668650777013,0.9364956023970766,0.45728453611158115,1.387803031937353,1
5900,-0.49673564144127846,-0.7204908654067945,-0.5168918318098087,0.2269579201935694,-0.12338371463389716,1
8910,-0.27735300868925183,-0.7174572080632463,1.3950911809900568,-1.1197096813207097,0.3871528267514257,2
9059,-0.24470254193082347,-0.10051510484643278,0.8010542541646235,0.9946024132112111,2.2976177293724263,2
14291,-0.5579255277996644,-0.9455877222886458,-0.6602550540676122,1.3042303444247445,1.8387917916488628,2
5873,-0.7176334451361079,0.09220921867398287,1.2272064964451608,0.4568003768436776,-0.3489405675806039,1
3719,1.0272586083210435,1.4238342268427957,-1.5297643295929593,-0.9698345878032963,0.011564125505865082,1
12620,-0.4113639738292537,-0.6986058151032333,0.09937396003071428,1.9687129764136795,-1.9570260182035342,2
6842,0.3454916240273899,0.3720697133796996,-0.49002289927698345,-0.6767057779764091,0.31128639079832354,1
11251,0.019161221310867282,0.7234561948457907,0.6303480895950282,0.191309605621087,1.4474454422599465,2
6201,3.5383812179843255,-1.5157774230336454,-1.0609214290851499,-0.712919247140291,-0.2191174274583953,1
11857,0.10680159004480472,-0.0652599910433735,0.5876538463211343,-1.151871365411258,-0.8555067079317082,2
5642,-0.24512680882331708,-0.17214570774337104,1.5895121684355522,0.34267870309400134,-0.5583385099578937,1
13582,-0.8807465464087092,-0.7016042371782533,0.7044674396145175,0.3981776663020587,-0.9567702023519797,2
5225,-0.48833018931493233,0.7473146997150494,0.5202223213643113,0.005318827844652901,-0.6424579312339411,1
14355,0.7531018696244913,0.5346305640306342,0.18182304147667966,0.6904115120001484,-1.151214653616403,2
10004,0.3980110506146923,-0.4866776180345032,1.170942435227179,1.2575623903344542,-1.0669332988955933,2
1096,-0.09593921260322397,2.5018170507045197,-1.312587128221067,0.6018756703605866,-0.7689349031027484,1
10365,-0.5761374186045747,0.8668066875806504,0.2559461503033759,0.3336719338889933,1.6247530448509595,2
5206,-0.2999042487392306,1.2590355582968769,-1.430915888494011,-0.8073926002037699,-0.24256062475299311,1
14478,0.28485503521435407,0.3033955988093813,0.27625808585086137,0.7142359320109312,-0.8342883442535947,2
14385,-0.22849572236724447,1.4725943004151334,-1.7031325957785037,-0.7662209583023036,-0.4464703309538219,2
10267,-0.7670917485392764,-0.14613340453206233,-0.2520253654581945,0.6040952752076204,-1.5595023766184108,2
13077,0.31730115215085675,0.12478027474546124,0.909451114373263,0.7591162142648806,-0.6409375253439533,2
14174,-1.5608743970162902,-0.24391876406812224,-1.6186226744696357,1.1682779780935157,-1.2827103469868801,2
9163,-0.43910254780913094,-0.8072910353718321,-0.013882461988427464,1.6341291841202528,1.8264569561650945,2
9725,-0.7687978708981267,-0.9378074512022491,-0.39330649174080234,0.7280555966737847,2.866956506952692,2
5911,-0.3987913413968233,-0.7220291069998599,-0.5202571677058287,1.7576986510195822,-1.3730787852613664,1
4919,0.28617538346552174,1.7759822270683923,-1.7493064565655847,0.015428825325939366,-0.5916719006967482,1
3879,-0.8696256168381151,-1.0759122164238435,0.8348395039704527,0.7626528559223369,-0.5134878850366407,1
486,-0.8470166779528477,-0.9230821572524943,-0.35441682986242634,-1.7717339867601603,3.4694586224195234,1
13813,-0.06346028767659756,-0.2942813202397082,1.0410084775994872,0.8405757914984401,1.6533786890300153,2
6879,2.862668361330454,-0.7111488889447312,-0.919811711195973,-0.7224182275568954,-0.18211305816047596,1
13953,-0.9084521116707809,-1.0662457356400474,-0.5894597835779786,1.2936019008256623,-1.3894677261551156,2
12030,-0.4164333828865824,-0.3892955541268219,0.4783976049030867,1.931233872422233,-1.824061884937309,2
5590,0.4920179034999089,1.3100094820602264,-1.5388605170853802,-0.19570373426749021,1.4091510393514177,1
8664,-0.19181956672522749,-0.326737472531226,1.7144759522718584,-1.5523063816011917,-1.1508406255825339,2
3144,0.7826745840810566,0.6293919869280882,0.0979407285004026,0.09329669716371698,0.39073845017608,1
10018,-0.7923049377831712,-0.5925177786494273,0.6505772405899649,-1.1813232124873545,-0.1608127493728644,2
9158,-0.3440237548801449,-0.7918520938273217,1.1160202483696346,0.9302550289394397,2.3408492671657717,2
7235,-1.0308329031934425,-0.32887978316003597,1.425058085450204,0.7268439395290914,-0.8508077324441565,1
5036,-0.5373595718404366,0.09560849120502884,1.7832764184368735,-1.4800472683108548,-0.08699982875232658,1
4951,-0.8019709912481657,-0.6362738132639932,0.3708242909448277,1.6320039234934616,-0.7848899943494622,1
12420,-0.5332822121823723,-0.5899238596502618,-0.8908428577184799,0.9273145498375364,-0.37652606728266425,2
2060,-0.2569973072683671,2.358004296401131,-1.9080307515058879,-0.9996825786654663,0.017770373057323124,1
7603,-0.4731723448619325,-0.23169600268855506,2.240924030276342,-1.3514233133882407,0.572072004789715,2
2095,1.9649972948339778,1.1603905572432247,-0.2027350931063968,-0.6927572818598539,-0.14676229496677268,1
13422,-0.35192914830223576,0.14237331724494298,0.16112320350586457,0.8562476082815159,-2.0191378024542335,2
12886,-1.1827943264842524,-1.9254914760000952,-1.8742321462118594,-1.6287862017455697,-0.2870358540142966,2
6952,-0.5706228190675083,-0.2629032431687407,1.222692854205755,-1.6578635815542027,-0.8829612379533163,1
12644,-0.6737656891354828,-0.005760315376740682,2.0401389257204467,-1.5722007799754913,0.6598131105540549,2
8656,-0.6574755013052789,-0.36825525532391995,-0.3591996483519116,0.6148852925003429,-1.548272166711949,2
13006,-0.13784285529601667,0.7089123903830441,0.6525717740970403,1.1747516099286925,-0.6482590179678707,2
14827,-0.4189471869678033,-0.3854952811842255,1.4727520316698706,0.7845309597522324,1.5066710017755718,2
521,1.783435253996272,0.12752412838266242,-0.41543739203647556,-0.2712144733294013,-0.41908984439397495,1
4639,0.15074590267667579,0.648366232236037,-1.470975551109891,-0.38806331521454224,-0.657947692295379,1
5828,-0.41785157716817767,2.307398311577972,-1.855310074259791,-0.7762774679130766,-0.4452973082987359,1
13612,-0.0914508970152457,0.9738839570935812,-0.3823789703159969,0.2710850533891093,0.8416792364360173,2
12714,-0.4848248981128514,-0.11458858211373375,1.152019912728016,-1.1395880294362888,-1.0932676118675804,2
12513,-0.35642392452903426,0.41670483217473375,1.022236086963336,0.3081726634371276,-1.2470475386435187,2
11500,-0.29667769775316133,0.23684105280855133,1.233493945566551,1.5806555276561165,-1.0931691177875194,2
6807,-0.6554448406438563,0.38824387924761844,1.4126526460330042,-1.4148861818966016,-0.2787128496776663,1
4534,-0.23243301467263566,1.860459942610387,-1.7274681825317495,-1.1206702060139817,1.7489221144169964,1
675,-0.23178084695610718,2.075489654775231,0.6977238895263176,-1.3333274158190591,-0.3559167833844283,1
3146,-0.762645813298648,-0.5685539767640337,1.5299316175784403,-1.6593239924134848,-0.7460998469549246,1
397,-0.29305787182376647,2.171964765896287,0.3094941765762261,0.13677586446166784,0.20364467785372495,1
7126,0.16850850091245684,2.551383241212218,-1.7755298220969418,0.5087177477680095,-0.7048974884002701,1
10370,-0.7906744200975778,-0.6625536033135033,0.2584208736934934,1.860775763826823,-1.5931034463112235,2
4392,-0.8293170609962897,-1.225167541795964,-0.760865694866528,-0.3426162176173396,-0.8906925239896392,1
11730,1.7175054626708934,1.4626506427689494,-1.381534720635392,-1.2211449626330866,-0.26883874087495035,2
14752,1.162655890795872,0.018438310155566684,0.23371001777178943,0.12253069495060259,-1.1217622497855277,2
33,-0.8982051617822275,-0.19144616159527073,1.7513654157340621,-1.3653098419401193,-0.13403931963723348,1
8645,-0.3006646901947026,-0.5367663757437066,0.8375055614914442,-1.0769249870189634,-0.958461184049462,2
9258,-0.46773728163271994,0.16605871423020235,1.4788023159720198,-1.4779100765358113,-0.9018990650822046,2
845,-0.03973538095129048,1.737773006953371,-1.3693206568359186,-0.05685884500257199,0.2342443090104115,1
7118,-0.24247415165074934,0.6253874766919825,-0.8574036110015731,-0.7242145242321271,-0.48371375154835117,1
10688,-0.8148896911102039,-0.14944449381675617,-0.30879311301296397,0.9153597239520996,1.0489850668094975,2
13428,-0.5063117539106946,0.019445812295342882,0.6089526043227916,-1.1378853633656971,1.8596075600135515,2
7968,-0.7703786708134192,-0.33972704396173026,0.06542098440470043,1.6236476496537937,-0.3347791081668878,2
3771,-0.6005973962020177,-0.975405021378318,-0.4210771765274246,0.8829978801880799,0.06058973242798901,1
11772,-0.5592220094715827,0.0549204942830528,1.841660577375688,0.5929679172790212,-0.8217802583946668,2
13052,-0.4778768730554322,-0.7031490239042852,0.34330113382454963,0.4307716175424778,-0.7149332094703744,2
4672,-0.5409386588017245,0.9228154219624025,-0.0899751773777788,-0.04527479346258837,-0.1425766958341671,1
5569,1.4498701063370734,-0.20216350668396862,-0.518633067123244,-0.7944303835520141,0.031071296161712114,1
13239,-0.39192041933191796,-0.16478248912932403,0.7133071157849412,0.8224495194494427,-1.526572286974301,2
7419,-0.6750843929988862,0.5653063597880457,1.8247544815502394,-1.8019258724609084,-0.5459532813838991,1
9426,-0.7846128483079338,-0.6344697983340418,0.38183967002448976,0.11761418805582968,0.6425805217506431,2
