,lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,label
1670,0.6206080696076459,0.4387621898526683,-0.15899495307621608,1.0900873729839535,0.5506693306404176,0.14809537605325224,-0.880704496747692,-0.03694783514935973,0.17219214164630237,0.17247463534823104,0.22543272051929564,0.7770396024570863,1.4501069855512596,0.27381640107787564,-0.513401952951801,0.018358470925511156,-0.3985428063854817,1.0296381579573237,0
13379,-0.022024696669030425,-0.8137670671679612,0.2107010182133406,-1.0180214275010528,-1.422093275050044,0.33668782564099764,0.001823725257340758,-0.10330996153334543,-1.478423271803765,-0.6208964160867612,-0.05490778897555243,0.17779234653873707,1.1943349317072756,0.6114212380753536,-0.8538340666082535,0.4920221928466776,-0.36944204929484037,0.059877768992892544,1
10234,1.959824325713332,0.911025979903004,-1.1174693509501676,-0.2626424881010315,-0.5264288825531753,-0.3208043892232011,-1.141427233012095,1.3375135641991571,-0.2813713013924518,0.014509500492922323,-0.2167255909917707,-0.6976139611832028,0.098954658935899,-0.20648943052095586,-0.2387761857120969,0.23799703299761155,-0.08259388346628149,-0.8522198736707414,1
4719,0.976922820550176,1.8109475588625998,-1.4741714533957915,-0.868884216432472,1.3663726677466663,-0.3546893072841228,-0.5203842200801339,-0.5052624482254315,-0.6089715255840243,-0.41337445902592185,0.5997126007889821,1.574672275268635,-0.677830862116382,0.0007526033630857465,-0.1272746267816278,-0.7653532215504772,-0.4835773724272737,1.791636633619545,0
7003,0.3853369498583031,0.19255839189098342,0.1852574678701628,-0.7512652049005286,-0.46920682017495496,0.8496669426649119,-0.3818209609267096,2.7384344704376007,-0.26156651072944603,-0.9324751845117536,0.03381725279137121,-0.6488243632303167,-0.8338599518312118,0.27961724980166924,-0.6983808588899412,-0.38579464111909767,-0.7807560752972842,-0.7435313732778939,0
2831,-0.8480565126233554,-1.495568797889569,-0.738494384128581,-1.7852737152223506,-1.3869549050569963,1.387886124995793,1.731655483578737,-0.8918934479023969,1.115560954983779,-0.553858826902861,0.2465646194655264,-0.18061366760793585,-0.8920450383379082,0.25493394173195255,-0.018903522831484387,-0.8004915608011839,-1.0987131100776606,-0.8713177481505074,0
13014,0.41900565325218864,0.8661690881506006,0.03975755433747738,0.07572726920454777,-0.8032549381365761,-0.036734900759924416,0.5728170687589812,-0.4137554792838434,-0.32190213662371314,0.11673050534000617,0.6402177197107466,0.10705760546963222,-0.18616987669111146,-0.4753357554643373,0.8447145329448449,-0.7333041002968725,0.0523276284902322,0.29126393351897584,1
11979,0.8773642557215238,0.46087426765535605,-0.46971753910945635,-1.0628002092233273,0.634294365602978,-1.8303738135942569,0.10261958720188685,0.4210367155941859,-0.3737178175044118,0.20964526055874252,-0.17288040288531553,-0.7124263637227487,-0.3449145481474838,0.25959273077535416,-0.4032987069252421,-1.0156846818883334,-0.36738616709037564,1.9074702736915534,1
8610,0.22943209740079212,1.0308565596760242,-0.6664108472425818,0.2106273330338074,0.23624776325028352,-1.0568840869342826,0.2606170655092338,2.478181900234221,0.42142674406421043,0.3266429192777735,1.215439202308273,-0.17712488982147195,0.3370473065811418,-0.3239520398669802,-0.6090297677613448,-0.03139435903995939,-0.10758945438738218,-0.054013520127957626,1
519,0.9952553032174807,-0.38938892207012255,-0.1763209878407646,-1.2810751152488629,-0.057162045767096256,0.9079377841009337,-1.2673454641321715,-0.4264702057713073,-1.9202625093652643,-0.8517264710304758,-0.7727863778533834,-0.5608491975419121,-0.2735502182462034,0.2780101371505964,0.23273276962375955,1.023737045609613,0.38563431322355357,-0.019541265764897457,0
