X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
0.78780913,-0.42971116,0.4991254,0.3934178,1.4738373,0.68435836,0.8437549,-0.014036005,-0.8674806,0.464802,0
0.25263312,-0.23627312,0.08154634,-0.29822528,-1.473041,1.8908427,0.76135564,-0.7617979,-0.5457877,-1.8407357,1
0.9143819,-0.16594057,-1.5251346,-0.9261891,-1.4452932,0.7889273,-0.06006527,0.75383157,-0.20993213,0.62230366,0
0.912449,0.06148541,-1.4318196,-0.81208324,-0.7357304,2.2425368,0.45829618,0.3603576,-0.51391757,-0.54658306,0
0.38700503,0.034299448,0.5888484,0.4688405,0.18762779,0.5814873,0.26096818,1.1181006,0.14907563,1.5603865,1
0.8241171,-1.0926528,0.23296192,2.1085508,-1.3574215,-0.6562842,0.34401393,-1.0858114,-0.5877572,0.26267707,1
-0.28689253,-0.9256776,0.11732665,-0.7206162,-0.37090907,0.03300497,-0.1381437,-0.1462287,0.03227243,-0.56393087,1
1.3418379,1.493409,-1.38776,2.020576,1.3034568,-1.1650246,-0.30799735,0.87939173,0.5294633,-0.4350592,0
-1.2000486,-0.6379979,-0.95787454,1.0124813,0.17002118,-0.91642034,0.48435345,0.4521751,-0.41778624,-1.0409731,0
0.19435592,0.41542304,0.70626473,4.0504675,2.5937188,0.32607606,-0.72755784,1.6155331,1.1128485,-0.20188895,1
1.1864123,-1.1969786,-0.4820828,0.45457125,0.65705824,1.2747225,0.46125442,-0.39319095,-0.42239603,0.16854891,0
0.12805408,-0.8598033,0.87729967,-0.68226224,-0.17411365,0.79426885,0.8640008,-1.0368508,-1.306124,-0.11672482,1
-0.9078253,1.7849102,0.11069128,-1.1603367,-0.6813443,0.87217635,-1.0008266,-0.82206684,0.8699645,-1.3348067,1
-1.7720245,-1.5223914,-0.9666051,-0.35915846,-0.45486364,-1.5140294,-0.2062644,-0.05534353,-0.109650806,-0.5077418,0
1.2163663,1.5159984,0.7823655,-0.29243004,-0.98011273,0.9902049,-1.4703842,-1.5652463,0.9553932,1.8062122,0
0.29819334,0.75821495,0.23176734,-0.039016813,-0.6743272,-0.7432345,-0.25554895,1.5306569,0.38415688,-0.5992588,1
1.0776409,-0.6662168,-0.8286735,1.9636464,1.1736532,2.6221507,0.9701052,0.91315925,-0.051779598,-0.26889226,0
0.23986968,-1.4480081,-0.012759626,-1.4408495,-0.28218397,0.16798541,-0.4262459,-0.2393349,0.14778112,0.6709733,0
1.3522032,0.487516,-0.553183,-0.6468111,-0.71778184,-0.756435,0.562487,0.9542221,0.3339224,0.6303443,0
0.8309678,1.9209455,-1.0613916,-0.76722515,-0.5596511,2.0467792,-0.27439106,0.08496457,0.50190336,-1.1363695,0
0.84717476,-1.5038857,-0.28494745,-1.3384199,-0.4800408,-0.5912752,-0.1016233,0.030398764,-0.1929662,0.5229862,1
0.44504657,-0.05244121,0.18279056,3.8863156,2.7216308,0.6739539,0.7160125,1.8481994,-0.41868764,-0.0068670455,1
0.211626,1.1818315,-0.40303653,-0.67365474,-0.4867763,0.84587175,-1.0596234,1.0583239,1.3649622,0.5435566,1
0.6610069,-0.8028984,-1.1795295,-0.9801405,-0.78614455,-0.42019004,0.9612964,0.048175216,-0.56190693,-1.0639434,0
-0.95257366,-1.0956519,0.5415231,-0.76259726,-0.14519867,-1.1193428,0.7604182,-1.2227156,-0.9215784,-1.0823052,0
-0.8843267,-0.5667082,-0.44953218,1.3124213,-0.09767547,-1.2560794,0.8794495,-0.0295908,-0.16277026,0.73535514,1
-0.7050268,-0.8831062,-1.3675364,-1.1665149,-1.1606879,-0.65024245,0.13591939,0.15586619,0.22649986,-0.13693619,0
-0.12626028,2.244028,-0.20350496,-0.7839601,0.3005111,0.9216745,-0.94066834,0.29703522,0.90829074,0.34496662,1
0.7859774,-0.77994955,-0.19077438,0.63320065,-0.65668935,1.0600555,1.0955805,0.58041555,-0.77459854,0.51203036,0
0.32068962,0.23617128,-1.0510925,0.7074635,0.225979,2.2336216,0.5957682,1.3050339,0.41609567,1.5969995,1
-1.7675905,-1.795284,1.0979726,-1.374926,-0.0176211,-1.1720074,-0.7213451,-2.0199933,-0.39660522,-0.7316046,0
0.4794927,1.4055108,2.0256283,-0.067126825,0.2893396,0.24971202,-3.2804344,-1.2001554,1.6738191,0.5088128,0
-0.89942867,-0.65585953,-0.16660216,-0.47821835,0.1901116,-1.0832162,1.1050003,-0.3489109,-0.88563895,0.12793651,1
0.40725958,-1.1128327,-0.3413975,-0.7610748,0.021894723,0.6259485,0.47701222,-0.4057354,-0.033762276,-0.28709334,0
-1.1096389,-0.23704311,-1.016563,0.9349412,-0.9230402,-0.87017065,0.5063167,0.4553736,-0.044123203,3.0899248,1
1.134408,-1.009254,-0.16000617,-0.5778391,-1.3434819,-1.3767927,0.6770075,-0.2587461,-0.53854215,0.119072646,0
-0.76022303,0.47219452,-0.784651,-0.16462627,0.21122697,-0.7927648,0.6891454,0.86366767,0.13089567,0.32645988,1
0.052784406,-1.2479928,-0.044177957,-0.5820986,0.0087118745,-0.08712685,-0.16785496,-0.96974945,-0.16053367,0.582885,0
-0.023826346,-0.62064165,1.0781981,-0.24569449,-0.85827315,-1.310978,1.4712114,-1.9213661,-2.3384814,0.37874076,1
1.0851038,1.9461672,-0.7298449,1.1195207,-0.618181,0.79088676,-0.37716433,-0.33393168,0.070262045,-1.5244293,0
0.5137985,2.1472118,-0.8160801,-0.7408909,-1.0072494,2.0172398,-0.42714107,0.36240032,0.5677066,0.67845213,0
0.6406436,0.9428331,0.046298116,0.780716,0.42293772,0.7057497,-0.6869761,0.631233,0.9547253,1.5994805,0
-1.5445638,-1.5564557,1.0029662,0.12781961,-0.8346392,-0.8286253,-0.5011277,-1.8326656,-1.0519198,-1.0320623,0
0.21651524,-0.11388117,-0.6862129,0.444229,-0.15054594,0.950156,0.5545319,0.13626699,0.17527059,0.37485355,1
-1.0909499,0.41620433,-0.040408522,-1.2863468,-1.1862814,-1.3994427,0.9786805,0.51689637,-0.6625275,3.0497832,1
0.11584454,-0.20001936,-0.13090181,0.60792303,-1.1488311,0.4798466,0.5580825,-1.3205917,-0.7529518,0.66045487,1
-1.9750938,1.269254,0.74025285,-0.4771108,-0.26199594,-0.8387188,-2.6768486,0.47404414,2.0675697,-0.6184443,0
-0.3751858,-0.7715625,-1.6009638,0.83245134,1.051678,0.43746158,0.52640927,0.4197243,0.039422557,-0.19332369,1
0.48817873,-1.1581838,1.0149207,0.81066924,0.06116593,-0.21391128,0.706977,-1.6100137,-1.0684642,0.5450846,0
0.402407,-0.6435681,-0.89779484,-0.18506947,0.0061388165,-1.4906187,0.8406035,0.37032062,-0.17895506,-0.85180205,0
-0.4486584,0.051326543,-0.18711108,-0.2221331,-0.13257506,0.04257358,1.1926813,-0.37391308,-1.1986254,1.0199754,0
-0.18718693,-0.52584547,0.78262115,0.32076925,1.7558689,-0.7330012,1.3072746,-0.9505881,-1.1446469,-0.6324044,1
-0.72595584,0.80969435,1.3685671,-0.7049252,-0.1362888,1.824126,-2.378749,0.94679415,1.90311,-1.0921692,1
-0.01395151,0.22439295,-0.19313048,0.016819604,0.68212384,0.31191778,-1.0403097,1.324997,1.4873245,-0.26379028,1
0.82111317,0.0731669,1.9761428,1.3048857,1.7869414,-0.8850897,0.661639,-0.16987973,-1.2058877,-0.8884605,1
-1.1374574,0.12562731,-0.425353,-1.1118389,-1.0670705,-1.0841632,1.2173219,0.1632937,-0.9965504,-0.76309556,1
1.2548077,0.38782775,0.35896423,0.039763793,0.20069037,-0.84840673,-0.24768667,1.279386,1.3472532,-0.6147872,0
1.677125,1.1837862,-1.0168124,1.336815,0.27763858,0.5830372,-0.6485151,0.51107377,1.0867715,-0.55340433,0
-0.5231316,-0.44868186,1.5450218,-1.1686776,-0.91035044,-0.9695573,1.6598082,-1.359645,-1.7376256,-0.011697069,1
0.15671714,1.1212825,-0.9971864,2.72195,1.1221201,0.27530965,-0.4903879,0.9941752,0.757624,-0.018785805,1
0.93397605,0.52002686,-0.48052454,-0.51091737,-0.29387984,-1.1283743,-0.56060624,1.7571824,1.4898286,-1.1298406,0
0.7769164,-0.7419931,0.44104478,1.5674702,2.9406638,-0.66545504,0.4627822,-0.6538279,-0.5190842,-0.8608413,0
