ParticleID_2,ParticleID_11,ParticleID_15,ParticleID_17,ParticleID_22,ParticleID_26,ParticleID_33,ParticleID_40,ParticleID_41,signal
0.023472968,-0.91783696,-0.5519389,0.16613579,-1.0217323,0.8034233,0.46222603,-0.32442486,0.99437106,False
-0.4822443,-0.85684776,0.8837664,0.4381368,2.1778202,1.2783393,0.85518575,0.3636182,0.51756793,True
-0.22571549,-0.86384356,0.35425147,0.70698786,-0.6831827,0.8810165,1.1709301,-0.08618554,-0.92910063,False
-0.3149302,1.0580506,-0.52753943,-0.14871755,-0.7400764,-0.41158202,-0.8334348,0.088509,-0.75852215,False
0.8522369,-0.8561319,1.1650841,1.1167063,0.050448716,0.85680825,0.77766496,-0.2876101,-0.4549438,True
-0.46252078,-0.5521263,2.920756,-0.033982933,3.0887227,-1.0932288,0.6934416,0.111979514,0.85060966,True
6.671586,-1.2260237,3.265556,-0.22572173,1.9592776,-0.8835953,0.48682827,0.4792247,0.6150674,True
-0.10535398,0.82069784,-0.8788637,-0.19480707,-0.93020326,0.20785499,-0.6538942,-0.28487295,-0.37610418,False
0.02455971,0.06351277,-0.6586294,-0.12950298,-0.6354077,0.70192623,-0.3740996,0.31388044,0.24862315,False
-0.46490842,-0.309335,1.2997848,0.07885888,0.62755525,-0.5512362,0.024158124,-0.17108126,0.33046186,True
0.2555249,0.5465233,-1.1147618,-0.50288427,-0.096522324,0.59170574,-1.4697465,0.077152506,0.11653691,False
0.18561137,-0.83051616,-0.41727155,-0.38061893,-0.75359535,-0.8168818,0.77671635,-1.0637405,-0.756782,True
-0.20106989,-1.1182902,0.41039634,-0.14953858,0.543925,0.49195507,0.9788399,-0.18384105,0.3897881,True
0.4048573,0.30092055,-0.69792205,-0.29310563,-0.09235126,0.5345502,-0.8320434,0.049279492,-0.2256935,False
0.5569597,0.54012257,-0.13622595,0.29712337,-0.06324505,1.2973956,-0.5569552,0.61905324,-0.4288739,False
2.087175,-1.4263654,-0.19175725,-0.072118506,0.2487753,2.0890787,-0.0135579705,0.10895981,0.2478688,True
-0.26361334,0.5219312,-0.76689667,1.3649708,-0.8153751,0.1462271,-1.0650896,0.8071958,-0.29196995,False
-0.7290955,-0.03050834,-0.41686738,-0.5302892,0.5083505,-0.40605345,0.87339324,-0.2510627,-0.6175885,False
-0.2880572,-0.50888443,1.6895356,0.28645736,1.6720111,-0.9841858,0.2999629,-0.004778877,-0.18514623,False
-0.23992914,-0.85293466,-0.32110035,-0.3560737,0.6908368,2.0082946,0.6808627,0.10844924,0.07856273,False
-0.18991713,0.96345997,0.8714465,-0.3742389,1.3902929,1.6568953,-1.023623,0.9491509,-0.96539795,True
0.05649946,0.7956771,0.65701616,-0.06734462,-0.3476187,-0.7250034,-0.70010036,0.28930968,0.7362501,True
-0.12238482,-0.074314505,-0.5435001,0.12119937,-0.4861987,-0.9550271,0.36997527,-0.70792156,0.28101593,True
-0.57379174,-1.3169105,-0.98297197,0.6023874,-0.5904539,0.6708728,1.2380412,0.36656553,-0.555942,False
-0.13895786,-0.12764858,-0.039977282,0.029338315,-0.15881538,-0.59772515,0.33571696,0.38025895,0.28068623,False
-0.50415564,2.3110247,-0.9238294,-0.095998436,-0.5884913,-0.9936255,-2.028946,-0.4886366,0.14111377,True
-0.47035635,-0.89152354,-0.54251534,-0.23734842,-0.2428433,0.33485618,0.5869269,0.58420765,0.59238416,False
-0.28867558,1.2376047,1.0195982,-0.3984932,0.46750957,-0.8746297,-1.4994847,0.31970727,0.5089474,True
0.22606833,0.55100083,-0.92399323,0.32776108,-0.74223953,0.2673176,0.39784467,-0.21284412,-0.6425036,False
-0.7067736,0.22828741,-0.079885304,-0.32910365,0.06234312,-1.081606,0.20812063,-0.85438305,-0.3348983,True
-0.1886285,-0.5492447,-0.5010651,0.09290178,-0.62729686,-0.08964482,0.82045394,-0.34460652,-0.35247895,False
-0.43544772,-0.8595477,-0.18683654,-0.14560457,-0.33954188,0.84562016,0.7293508,-0.22149558,0.25405395,False
0.012705356,0.17862791,0.16729268,-0.047917217,-0.4571079,1.4326508,0.84947443,-0.35983825,-0.9024913,True
-0.090787835,1.3503494,-0.71793634,0.37797263,-0.39298394,0.5110218,-1.8300016,0.4397917,0.13345772,False
-0.4441299,0.072500214,1.3067412,0.2782601,1.0224624,-0.9084152,-0.2020239,0.23371199,0.4461844,True
0.030030273,0.12849179,-0.5213139,0.5951195,-0.7589954,1.0124269,-0.2475138,0.3373948,-1.0122751,False
0.8787934,-1.1641048,0.679724,-0.007937744,0.48488194,-0.54772836,-0.5929379,0.37426293,0.14743708,True
-0.26441082,2.3598146,-0.61193514,-0.38267893,-0.2155261,-0.38011715,-0.9545143,-0.46017355,-0.5326597,False
-0.29423004,-0.48386988,0.06749892,-0.043677047,-0.7147655,0.9114065,1.5000315,-0.95397294,-0.5798487,True
0.04854244,-0.4980331,-0.5103859,2.1413407,-0.8732452,0.71787554,0.7214055,-0.108533755,-0.30558956,False
0.13582112,0.7675246,-1.0089843,-0.27127886,0.044657692,-0.6137074,0.5904118,-1.0324267,-0.09797603,False
-0.0889122,1.669285,-0.592561,0.72578627,-0.39040792,0.43975568,-0.41679344,0.8857807,-0.04635036,False
0.02540794,-0.5483938,-1.0283551,0.52205014,-0.78429836,0.22182965,0.49240848,0.47987825,-1.224916,False
-0.81776893,-0.4521591,-0.22698578,0.14251909,0.07722829,-0.55200183,0.7403751,-0.33931816,0.44552213,True
-0.51724845,2.3469305,0.28176406,-0.16901541,0.72406626,0.6563226,-1.7512708,0.28832892,-0.030457288,True
-0.13969602,-1.030593,0.24146016,0.30260327,0.41607028,0.40030336,1.136954,-0.21592824,0.71092755,True
-0.018445099,0.17078567,-0.52487695,0.40091336,-1.1214423,0.09722702,-0.05375562,0.3200183,-0.11571749,False
-0.6670141,-0.53320855,0.5297106,-0.43473446,-0.13572317,-0.7707342,0.34392542,0.49432114,0.59404355,True
-0.5284577,0.4336978,-0.4759858,-0.67755485,-0.35626894,-1.0101519,-0.096423805,-0.4686271,-0.055464245,False
0.40571404,0.12532097,-0.114626795,-0.27000424,-0.3080228,1.0055357,-0.372002,-0.25687104,-0.11483665,False
-0.32651997,-0.6556282,-0.38388193,-0.36579442,-0.43287235,0.4629259,1.3870684,-0.5987123,-0.7490101,False
0.660988,-0.8489522,-1.0105797,0.4772935,-0.6912797,0.26340345,1.3000783,0.3954635,-0.33746666,True
-0.25507486,-0.24361622,1.388045,0.09964393,0.7164792,-0.75931203,0.45324746,0.049845263,-0.17973354,True
0.20044078,-0.8971562,0.00042663142,0.118599445,-0.54671556,-0.5910933,1.0256982,-0.8068671,-0.21629977,True
-0.116634876,1.1064044,1.5938642,-0.27642325,0.8695224,-0.65631247,-0.76298887,0.82630706,0.31984624,True
