,fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
1670,-0.6602521904052451,-0.2693084801662308,0.780616531432115,-0.10638523485459972,-0.7881832324939692,0.5745878970200115,0.66569227043311,-0.1678099043291809,-1.0830281834489552,0.08251357833737674,g
13379,1.2607806154706125,1.9972644761389948,0.6746893993522525,-1.6321295876466635,-1.311344040783346,-2.348272205739967,1.0304040368301086,2.25036203346622,0.6152865732507785,1.6155959584682607,h
10234,-1.0498385078678223,-0.2118468424514816,0.19408871779903583,0.47930694095513776,0.7173380182308464,-0.3516430572597179,0.26270680236167404,0.5707246814727676,-0.7779589269802358,-1.9721128952678901,h
4719,-0.9249950544327286,-0.6170166272533514,-0.415821287343597,0.3931334760160739,0.5499234526435979,0.4755389565050424,0.16241082862030598,-0.12069458756304585,-0.18892580168926715,0.12166816960697549,g
7003,-0.5978688346877263,0.2305271551965828,0.4556638170210871,-0.5048336917571148,-0.6170490135731304,0.3286312771807813,0.14617032676914027,0.3375380878648212,-0.09096780031296905,0.5897358634282245,g
2831,-0.5347853751538629,-0.15885944891812964,-0.5275003949573925,0.43068933000794396,0.16199526165443537,-0.03036229086856934,0.22592508825266983,0.5071861659970409,0.41344580973903916,-0.4017657613369822,g
13014,-0.6955248624577898,-0.6029688071707329,-0.01316393178528752,0.9004801590336939,1.3553249533977971,0.7726576115825117,0.49190594954662314,0.021133486221807468,-0.06412692444226052,0.49421614641480077,h
11979,-0.19944754350037086,-0.7518204086749053,-0.29049491270821337,-1.1031226429817815,-0.8917566716335878,-0.9972408200754046,-0.666109349183606,-0.18685792282192862,2.4983697748669504,-0.7559639226148276,h
8610,1.0788498803734354,0.4777479286860267,0.7236825855256475,-0.467449390030287,-0.9136795273693614,-0.29953211549328507,1.0729372806965638,0.6878433464197149,-1.0993728062729438,1.2528402897802404,h
519,0.6653394827600823,0.40671521886185236,0.6880241744181004,-0.9408211444174741,-1.3393939377820345,1.0574657597200277,0.8559180011247891,1.3266320558731846,-0.960652220071134,0.5505806172117017,g
13264,5.033360674803408,2.526998842832939,1.0780405385530396,-1.7954185670449905,-1.7584371779059267,-5.05026598017635,-5.124386272813989,1.4780229151379352,-0.2503751879521142,-0.005844107743505536,h
7329,-1.005000179625465,-0.7681295492107403,-1.5702360134721247,1.0901695097316872,0.8488923842434678,-0.26854209822256675,-0.827793527833063,-0.298293181707679,-1.0268527513172587,-0.9938638603675978,g
452,-0.8224291308183656,-0.4576708056004131,-0.901870508555299,0.16553189392908108,1.106601096367674,0.6534252373269198,0.34417550005388114,1.1491691861565423,1.3569248086238022,-2.183042193322923,g
12374,-0.9404211470615005,-0.4945640579236437,-0.6986030728880963,0.08598576721505191,0.34252536135670375,-0.11744177991033077,-0.3919966766373385,-0.3790848667511149,-0.3451326443092705,0.6882456477345268,h
4067,-0.2375232055985811,0.2126898798942973,-0.45296360508150385,-0.4836750695118378,-0.23027709825055953,0.15769560437388855,0.7094286481300969,-0.24774168157586768,-0.41710000311955625,-0.45634630463097176,g
