,Unnamed: 0,44125,CLG_RD,GT_RD,GT_SD,CLG,NF
0,0,Logl_mean,-10.123936586463678,-8.377075,-8.615405082702637,-11.96015676761476,-9.840974176624247
1,1,Logl_std,0.1773372527087134,0.20894153,0.0,0.1745546060501395,0.08183805427811491
2,2,LoglStd_mean,6.580138731190907,7.4080553,2.261524200439453,5.0864557315114975,3.3825202314685567
3,3,LoglStd_std,1.241531476004873,1.2215661,0.0,0.8080143881143055,0.3031321721560665
4,4,Brier_mean,0.2246544476829925,0.13129775903173063,0.09970757263663667,0.21883275087781445,0.13836491837412726
5,5,Brier_std,0.012456625259642369,0.007542827412833808,0.0,0.005519049299152882,0.004882101508340948
6,6,AUC_mean,0.8668198268920021,0.8951665148664227,0.9381877691605928,0.8375450777712908,0.8829138207270939
7,7,AUC_std,0.00966937767689071,0.011218930608219744,0.0,0.006395066253993824,0.00746388986929545
8,8,Time_mean,71.82713191509247,0.005175256729125976,0.0,50.03188145160675,279.9933524608612
9,9,Time_std,17.700718391315803,0.000574067146115912,0.0,3.605097740877037,5.079772837415329
10,10,params,BIC,"{'bandwidth': 0.2782559402207124, 'kernel': 'gaussian'}","{'bandwidth': 0.2782559402207124, 'kernel': 'gaussian'}",BIC,"{'lr': 0.0008922842063173442, 'weight_decay': 0.008830255459304551, 'hidden_units': 5, 'layers': 4, 'n_flows': 10, 'sam_noise': 0.16309532187207462, 'split_dim': 5, 'batch_size': 501, 'steps': 500, 'perms_instantiation': [tensor([7, 8, 2, 3, 9, 4, 5, 0, 1, 6]), tensor([2, 1, 8, 3, 9, 7, 6, 4, 5, 0]), tensor([1, 0, 5, 4, 8, 6, 3, 2, 9, 7]), tensor([8, 3, 0, 1, 4, 2, 5, 9, 7, 6]), tensor([8, 7, 9, 6, 3, 0, 4, 5, 2, 1]), tensor([7, 9, 2, 6, 8, 5, 1, 3, 4, 0]), tensor([8, 0, 5, 7, 1, 6, 2, 3, 9, 4]), tensor([6, 8, 4, 0, 1, 5, 7, 2, 9, 3]), tensor([1, 9, 2, 4, 7, 3, 6, 8, 5, 0]), tensor([0, 6, 5, 8, 7, 3, 1, 4, 9, 2])], 'Actual_steps': 365.7}"
