,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1670,-0.11082343386035684,0.8682541915668586,-0.32040675846305433,-0.651200923013366,1.060637214471036,-1.819983919647428,-1.4963773335265433,0.13927006887875396,0.6144880385120214,-0.39894879358661617,0.39941807558930836,False
13379,-0.9531205397568827,-0.639938480474979,0.7128700798030777,-0.6681578214816186,-0.08050687513311561,-0.4583295980679135,0.5116700919629334,-0.3609737709476725,0.7384821545464886,0.26068378218314364,0.1032445188030397,True
10234,0.010882821188179653,-0.8764858182831939,1.3159233558122305,1.4218224841543383,-0.6663495876930499,-0.5075194625001107,0.007641630367676566,0.36201496212182604,-0.8512869114029273,-1.3145635916432263,0.5701923144899048,True
4719,1.1570459554798713,1.9764749226970706,-0.9425598998264345,-0.039007724109892006,3.8593889850514196,0.6160721084222146,0.8912549988130913,1.2024186262277703,-0.36384547381715127,2.178927897337143,-1.0957309614556097,False
7003,-0.7969302226988124,0.13077289586955432,0.23012732638250144,-0.35573765427090187,-0.15515340218772117,0.589448759379677,2.126372058829192,-0.06909311478080182,-0.8989122311696384,0.3469454955752101,-0.7718800743519232,False
2831,-0.6946767859343019,0.15399864440141128,-0.6541077101599702,-0.7457158511333754,-0.6624601901941551,-0.5046941856814,0.17131732652055903,-1.1810322997203717,-0.781444983064346,-1.359099064593263,1.3583769165334438,False
13014,0.2408221894984634,-0.6139692746720649,-0.14854212687517893,2.1365895123246323,-0.1810637073432423,0.680515917481497,1.8253316809204545,1.1214768247889821,-0.248436561541438,-0.4736093237934025,-1.2148205756547554,True
11979,-0.2336651860318213,-1.0282442813520123,-0.2625757109992442,3.140308586610596,-0.25462592479776647,0.1981703176391798,1.3236109061110741,2.0994290079537663,-2.079284911576541,-0.07915065057193957,-1.015058034534262,True
8610,-1.1637733071460772,-1.346683457728798,0.20499960458740596,-1.0312325719527367,0.3583393025018148,1.275873121165703,0.18800569597427486,-0.6163138146171867,-0.16763780028785158,0.5335221159223046,-0.4992222159149151,True
519,-0.13678219974817712,-1.167750748022248,-0.696704305835041,0.37201517202715667,-0.7440863398676427,0.6663319517406326,0.7866320828698641,-0.36340096198407235,0.14277931927080756,-0.31255118134455573,-0.38942357233651204,False
13264,-0.26972011810980656,-0.5726440021227899,0.8069831516597054,0.7032682973654134,-0.13010653141000256,-0.36227741998504,0.29276572524055433,0.5764991264483921,-0.4269151903113535,1.5895162840485615,-1.6092152253548293,True
7329,-0.39106514680985616,-0.47881271253317226,1.1238881939881558,0.825483807356507,-0.7807651759911816,0.7185381983011803,0.8876961407096688,-0.38871578244743255,-1.9806934465794406,-1.4365591058053306,0.43822357408042856,False
452,-0.49338702423103364,0.16263336377953655,-0.01767518466997764,0.29171605714059423,0.07249774569957054,-0.25378223808739414,1.4237337701312764,1.1132113841989275,0.9446986642439131,0.428834944351722,-0.2275962290222436,False
12374,2.9757938701344884,2.142074579161335,3.305514712294875,0.4602019221814123,2.3283399215691385,-1.052479859455934,-2.256931630938011,0.8380461323868387,-1.957243879905372,2.1545463801236333,1.14293082520543,True
