,f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,binaryClass
1670,2.008204253582076,-0.5854348127326976,-0.5293502401654218,-0.506824541473409,-0.40772020579342294,-0.48983230088992286,-0.6687647830424357,3.7575337645950193,1.6378027064173972,-0.4207330081177203,-0.23416141686234515,-0.19463699073449015,-0.053276742663310894,-0.23371126268419523,-0.20357838975363843,-0.003844381410622183,-0.2856888920459803,-0.10929024161182341,N
13379,-1.1423417120318413,-0.4267053102099154,-0.0745804153946136,-0.25914336154527784,-0.18536736045065855,-0.430391219080548,-0.4409626794838217,-0.07995445914398441,-0.2733972394904063,-0.7090118523370383,-0.5559281756179394,-0.1662816330822501,-0.2327612387768864,-0.27694487615833313,-0.05554211440303289,-0.5724174060223725,-0.37088058881780184,0.5115949358735739,P
10234,-0.5241585331590006,-0.2833328240688396,-0.4264424816748703,-0.0946397980732025,-0.1312042030924752,-0.19601831471896852,-0.49618589389713186,-0.21464611538518824,-0.8310234312823523,0.6792577955377135,1.3807721103806383,-0.382258758742881,-0.9651345354779028,-0.1409044457531997,-0.3577469813109067,-0.4017739662032177,0.24716635425556704,-0.3058190632881598,P
4719,1.5065055428826128,-0.415533704748602,-0.752695973153295,-0.24149741339032194,-0.1401375620534509,1.502012430348417,1.067662494306915,-0.6154455231184289,0.6762737695312842,0.08029002260197854,-0.6742077606556072,-0.6930680011136935,0.020398569439678105,-0.13914964437556973,-0.2248552184790204,-0.13058936884430894,-0.1064644634955568,-0.28552406699447763,N
7003,1.7048657294005887,0.6056674369501218,-0.007736460976517645,-0.027819563690676008,-0.021017160210448776,-0.5931811208187306,-0.5944649826818641,-0.32079911875435696,1.6636401814338444,1.283341293866083,-0.1925431903678616,3.0392945591756995,-0.1821164512225394,-0.3577627212835553,-0.5054306265881705,-0.0011518659444385015,-0.3715484944716183,-0.2711009201850375,N
2831,-0.9324688045918373,1.5541614230017173,-0.0798679782160411,-0.5423939271336116,-0.11508482957102065,-0.321794019859302,-0.47276153327783066,-0.14278910462172345,0.30674927818180153,-0.6583919257437543,-0.9347183732907458,-0.5647470206996068,1.2191085701593862,2.930689248398667,-0.21642967382142597,0.3248342774994234,-0.05616305289742929,-0.24971826101786154,N
13014,-0.15486225759456596,-0.42839290053985435,-0.2967108998299519,-0.04591581331575639,-0.1497225892629274,-0.6672805855011801,-0.48664568623952004,-0.46869990215829344,-0.06329599169034533,2.629191557542297,-0.597601788147919,-0.8475828000454642,-0.5198340832167858,0.5533602760612802,-0.23689219650675825,-0.5162956858889087,-0.21978621001605234,-0.11860197397163848,P
11979,-0.5648141342288662,-0.8423820868381149,-0.2687651309783369,-0.27629819493638896,-0.32852889493775217,-0.5864480680517881,-0.09611156945799858,1.992534765123954,-0.6071590366694826,-0.8718727111484451,-0.806943529485611,-0.5679987412396712,-0.06270188016801626,-0.06615664760780726,-0.5849316145408008,0.010222617292715452,-0.10835296820037014,0.37823918718244576,P
8610,0.7165044175145103,-0.6385252377753325,-0.15354913976475554,-0.45936456949436144,-0.3006993907368539,-0.32100539753558077,-0.6109815538717026,-0.36449979573913077,3.692007060114077,-0.16983288649555184,-0.6401407231079582,-0.168685717450411,-0.585721534993549,-0.14240360003932614,-0.3337105071959664,-0.4047797705801566,0.3455829474508132,0.2160721666436838,P
519,0.18490466999654862,0.28444129752130465,1.6649943211525098,-0.3957717027562314,-0.07538939931968489,-1.091645445601925,-0.48159296749687347,-0.7098400996825747,-0.2621678800315249,1.9464206110540887,-1.0396006584049153,-0.8274723668041697,-0.6293666435026122,-0.22654575106129726,2.0872483303358877,2.162241836386213,-0.03227163987251366,0.24982083144268147,N
13264,-0.19151425210134793,-0.8400428975802257,-0.003846426609301845,0.17309540171791532,-0.4035502384230053,1.0820445290566463,0.9412319334576262,-0.17399612694551087,-0.7601997453270357,-0.6413642408515593,-0.40641005497977833,-0.25088504248430565,-0.040567801610272056,-0.20338723190350266,-0.3678620176844344,-0.36070733553829915,-0.20668061321585343,-0.42953195916927345,P
7329,1.0573131297706646,-0.34469739837189367,0.3579850671623086,0.26451814890715686,-0.223187450424427,3.465240718353006,-0.47086602240712716,-0.34264647472129434,-0.793964973523689,0.32041551386279576,0.7253729151575541,-0.24720245397274135,-0.5220866933822658,0.01158008374773739,-0.22998794534480582,0.06890649520173348,-0.036902861295064204,0.4810979588841918,N
