,44123,CLG_RD,GT_RD,GT_SD,CLG,NF
0,Logl_mean,-15.809663235023375,-13.320209,-13.519701957702637,-19.50822281237625,-15.53670974126245
1,Logl_std,0.5144806681196616,0.25238007,0.0,0.33294198082908477,0.09291134414523564
2,LoglStd_mean,16.097645447355866,16.358864,2.7838101387023926,10.637492537758526,4.521258087514963
3,LoglStd_std,2.8870283057787907,6.5174365,0.0,2.8955708883769002,0.20100238688667035
4,Brier_mean,0.14961770193020746,0.12580765815789663,0.06311893372456466,0.15518900098815563,0.12787655360360348
5,Brier_std,0.007482923873507625,0.0063801867232108865,0.0,0.00698549599350099,0.005506227408703866
6,AUC_mean,0.8652578176904218,0.892810366457508,0.9747742018828357,0.8542137180796342,0.8983037216302165
7,AUC_std,0.008247927567535186,0.0077360320027585585,0.0,0.011343316819914748,0.006566513193580022
8,Time_mean,2528.1232187986375,0.012373065948486328,0.0,2880.4769951581957,336.09018156528475
9,Time_std,46.90056559433074,0.010289618108148617,0.0,10.791956401778881,0.9575369851389987
10,params,BIC,"{'bandwidth': 0.35938136638046275, 'kernel': 'gaussian'}","{'bandwidth': 0.35938136638046275, 'kernel': 'gaussian'}",BIC,"{'lr': 0.0016793467739489487, 'weight_decay': 0.007544517735941647, 'hidden_units': 5, 'layers': 4, 'n_flows': 10, 'sam_noise': 0.1737482057943772, 'split_dim': 7, 'batch_size': 501, 'steps': 500, 'perms_instantiation': [tensor([12,  9, 13, 11,  5,  6,  8,  7,  1,  4,  3, 10,  2, 14,  0]), tensor([ 5,  7,  1, 11, 13,  8,  9,  3, 14, 12, 10,  6,  4,  2,  0]), tensor([ 1,  7, 10,  9, 14,  3,  4,  8,  0,  2,  5, 11, 12,  6, 13]), tensor([ 3, 14,  4, 12,  9,  2, 11, 13,  5,  7,  6,  1,  0, 10,  8]), tensor([13, 10,  4, 14,  0,  1, 12,  9,  6,  7,  5, 11,  3,  8,  2]), tensor([13,  4,  2,  7, 12, 11,  0,  3, 14,  8, 10,  5,  6,  1,  9]), tensor([ 3,  8, 12,  2, 11,  7,  1,  0,  5,  4, 10,  6, 13,  9, 14]), tensor([ 8, 11,  6, 10,  3, 13, 12,  1, 14,  5,  0,  2,  9,  4,  7]), tensor([ 5, 13,  4,  3,  0,  8,  2, 14, 10, 12, 11,  6,  9,  1,  7]), tensor([ 3, 13,  2,  9,  5,  8, 10,  1, 12,  7,  4,  0,  6, 11, 14])], 'Actual_steps': 423.9}"
