,Unnamed: 0,44124,CLG_RD,GT_RD,GT_SD,CLG,NF
0,0,Logl_mean,-7.992710375844636,-2.6678832,-2.04534912109375,-9.051375112096334,-6.753322970792119
1,1,Logl_std,0.4737060069277368,0.25079688,0.0,0.10338618070764076,9.56364328201321
2,2,LoglStd_mean,7.674409135859662,9.039201,2.2717928886413574,4.194071539575631,125.16935873687166
3,3,LoglStd_std,9.53305488913178,1.8360636,0.0,0.41135578420718155,366.9414325037797
4,4,Brier_mean,0.1346465098523507,0.15536559314258197,0.04116295568362815,0.13165978884156945,0.10784770812304564
5,5,Brier_std,0.01123522328109661,0.008143388397279266,0.0,0.005222617677888818,0.006647572066222968
6,6,AUC_mean,0.8874564229173393,0.8763602134774364,0.9883610397930851,0.8934656002941936,0.917219222413312
7,7,AUC_std,0.015463187328700426,0.011170076811417372,0.0,0.006794909869650211,0.009536754006566906
8,8,Time_mean,13.754237747192382,0.002571845054626465,0.0,32.2243439912796,162.26370503902436
9,9,Time_std,3.180882007978418,0.000684568044406254,0.0,10.170202696518079,10.275659772679527
10,10,params,BIC,"{'bandwidth': 0.1291549665014884, 'kernel': 'gaussian'}","{'bandwidth': 0.1291549665014884, 'kernel': 'gaussian'}",BIC,"{'lr': 0.003211788480657463, 'weight_decay': 0.00995346572001109, 'hidden_units': 7, 'layers': 3, 'n_flows': 5, 'sam_noise': 0.08336812286064056, 'split_dim': 4, 'batch_size': 501, 'steps': 500, 'perms_instantiation': [tensor([3, 7, 6, 5, 1, 2, 0, 4]), tensor([2, 7, 5, 4, 0, 6, 1, 3]), tensor([4, 1, 6, 5, 3, 2, 7, 0]), tensor([2, 6, 0, 5, 3, 4, 7, 1]), tensor([6, 4, 0, 2, 7, 5, 1, 3])], 'Actual_steps': 451.8}"
