,rent,ftotinc,eldch,yngch,age,occscore,sei,poverty,binaryClass
1670,-0.6991955851092847,-0.16245660922925528,-1.2632714616792515,-1.3838271079280904,-0.16407371450945651,-1.245142470152463,-0.7947196147517859,-0.16958436112347955,N
13379,2.3156783611800713,-0.19006067499690768,0.6938156964152308,0.6361527427370828,1.2830162379147096,0.9259852996306563,1.0598423454763004,-0.40436270749490666,P
10234,1.7908624920649077,-0.0013519579450064767,-1.2001926433697652,-1.0199249693813157,0.22468920897217315,-0.08001908500291201,0.08519145028369449,0.3667281236325416,P
4719,-0.8484482608384144,-0.1318415406103353,0.8020527362334718,0.7039946655838122,-1.5842468925583781,-1.3054546028329495,-1.049738306947866,0.721032777697673,N
7003,0.7293400310082205,-0.17924861525079003,0.4350371058424528,0.7309307377312877,-0.4105065689637172,2.098353196222462,2.114778445174948,-0.2176238723988205,N
2831,-0.6234376939382321,-0.3178209644340968,-0.5158310841795803,-0.8666262457768033,0.9112859437327889,-1.1482163488363342,-0.9879760906448098,-0.6193011867289188,N
13014,-0.6427195469360267,-0.1976812600866845,0.5052386817279615,0.8970798349449827,-0.17308315213557993,0.33391069691803577,1.5801890673215615,-0.03645753045346302,P
11979,-0.7052566752484979,-0.0008698102508018699,0.6101633840975478,0.8272745225407345,-0.601981005013076,1.584604503817021,1.6857580362354623,1.0082630481594521,P
8610,1.3608014444113914,-0.28313843894953816,0.7193498918674271,0.7048872463577446,1.206408267315793,0.2715894285447741,1.1737334572781508,0.373376745241658,P
519,0.7832160923480413,-0.2037406923033751,-1.2311263474901362,-1.610961222645372,0.43270287921022266,-1.033764724166042,-0.9496805435646598,-0.9216702172500295,N
13264,1.4568713181665662,-0.07631060635777695,0.7291166911671446,0.6067557275267752,-0.13568961025614126,0.46431471886310816,0.5845457340977736,-0.17320473965021516,P
7329,-0.8412156004546656,-0.11347575621177083,1.0415746970880377,0.6384041361924373,-0.5364117878438056,0.34565173497669327,0.7590104445130988,0.08421636830677173,N
