x,y,label
90.58926852253818,286.5895353397431,a
72.1885264217333,287.8895967008127,a
92.42377870025719,281.866460220652,a
63.38122875825023,299.41485216972217,a
83.79822632246481,280.66716263210304,a
78.51277481599028,280.2799831149272,a
82.27794813731266,275.6643314717244,a
87.64636426977823,271.008656107252,a
88.25344046991383,295.30923259994995,a
70.98798350150643,281.51793609705163,a
93.99614326012997,292.6095216239288,a
100.60856160325979,262.06461131233385,a
64.8559167627846,278.7016766950021,a
83.37399617869612,269.86157149489463,a
71.68830202851458,276.08525190124703,a
69.40908354156295,255.72666593031693,a
78.30759881538799,254.82114465954007,a
87.51162945075077,264.41291729442673,a
100.23897568409083,268.74352507938767,a
92.11360855725736,244.49202327534962,a
72.972214327926,252.91265244585304,a
71.80873955858046,239.5738121331803,a
80.3775289137034,239.73302302144447,a
107.05282486882484,221.76853296130656,a
81.78738498993262,239.23549628905386,a
89.02339349159136,253.09519810886064,a
74.18293491372077,244.4051468517858,a
75.99193178593788,211.97427909482172,a
93.75242011447332,217.33058697760652,a
90.52401584782584,244.063800900657,a
87.45192544165353,204.17306816075552,a
95.1377700856635,224.89197177128892,a
110.35020332135016,227.39394308168858,a
117.35862840463098,210.09772447712191,a
111.34659968218105,192.27055737857177,a
97.36011924135418,197.75643151203275,a
105.95211650994452,201.3610572399907,a
112.26814638754335,202.1159599218961,a
91.23294819548133,184.5894787990622,a
108.8815329441891,196.39183268738776,a
96.22636818632023,197.31596096716908,a
101.7935222316167,193.10177945422583,a
110.9163052182715,175.45190526435943,a
105.64627220408676,208.9166562152767,a
115.86122313995865,207.7318643866168,a
134.03163533917277,178.5469959262798,a
120.46277303493464,166.44363584049364,a
138.7598840320891,167.2753222360538,a
149.2048767274978,160.25870297105945,a
130.4296731039912,193.16760942897264,a
132.80082723285622,187.51748904036737,a
127.95907112222996,153.09689771335542,a
145.70934544900098,182.79315874824226,a
129.31932786380082,155.9355298140655,a
146.99348500468736,177.09256565641408,a
167.37171665136634,163.50388361694002,a
165.18223865228788,151.8085462466592,a
144.57742669416865,175.41573712544096,a
175.25841137533516,163.53682742868284,a
169.17422963181602,165.7904498695828,a
180.21214420734182,173.5343287531511,a
160.62118300078447,143.76135120348948,a
183.34247071263945,162.5379375115166,a
168.953021921547,141.40076881604034,a
183.29517834897874,136.45516189705688,a
182.3080844977032,138.733614248665,a
184.84400068110446,143.23988880529424,a
198.56802148478167,171.31046947986397,a
201.37991430958564,140.32192396929355,a
218.54640106635478,143.26684847347735,a
198.58130231163977,166.7014498543232,a
220.31758419348463,166.09531385162342,a
225.10186805244967,170.89207510958965,a
233.5430036996446,166.18616271609,a
229.5289201324743,130.74172869924348,a
226.27658576092367,135.6127619402901,a
217.06771979108697,150.97040953804776,a
230.73114104904508,156.28693034777513,a
217.1868111719762,166.30079122832643,a
249.981120420321,131.43836749046102,a
233.24417215599203,137.62031423069845,a
231.75414801619414,140.3124446328266,a
247.70244686567972,136.74528928718468,a
237.06035177512655,156.13458568456014,a
272.6232737668827,133.67021618292318,a
248.87949197435643,160.8460589496542,a
258.16075264964087,136.30508674005893,a
268.2707151618709,159.04825054180412,a
263.1811235041046,131.62098208021615,a
278.74723055084837,130.0472883024982,a
279.3297081539105,161.34952786282588,a
291.6465642205086,150.46957574477756,a
305.63544202581596,136.59925501499163,a
286.65160342307206,141.82550517874398,a
287.92313902657304,145.63727007952394,a
309.7868990937085,129.62754168549213,a
323.14785861794905,142.5313014102315,a
312.02808378632017,159.66956673490148,a
331.7182852061832,157.33844354714398,a
325.07242551128286,157.46563849477621,a
341.4729360184688,164.70193164208735,a
335.2351508879008,137.9701629320893,a
343.06249371921336,162.2547702940352,a
321.8683126670257,135.31736847094504,a
335.65481171287865,169.09023062209633,a
341.7249462853841,170.34865394733805,a
328.1896158335727,141.32082696320697,a
350.69159493017287,166.0674154832986,a
364.10170261201273,142.30778469307938,a
360.81361340408756,154.3761177308329,a
337.5181511851963,142.03028907215878,a
333.9268282729141,145.00164586864724,a
343.46630544543285,172.9602408911262,a
347.2778028419734,140.79483497037796,a
351.10578219866034,153.35831590981553,a
348.19338986298794,180.7518047791816,a
368.86102636896914,149.8306022467808,a
382.54212936296665,172.2849467091628,a
385.07283401637784,173.50706917687586,a
375.74306849176855,151.55661586342245,a
365.4880531841855,177.30559703835496,a
384.3287740982008,170.80778137093353,a
383.2710700747712,176.62442178546388,a
369.94955888932003,166.94784891433102,a
382.34248321898986,169.30145651720113,a
405.01830813136434,170.39470504448929,a
386.3712303964142,172.2788006082402,a
393.46998043112495,191.59865581601173,a
380.62439184394447,184.7850515326058,a
396.8701847802162,192.51796398901655,a
405.9549414229051,189.4652502481335,a
384.31323118656496,209.88868473107362,a
396.346772149767,213.9293456761286,a
408.3893537881467,198.08713698615338,a
411.21494891912914,188.3715467200247,a
390.42853727427615,214.1764148194843,a
410.6068678082706,194.36716533930348,a
400.42085137737126,202.21510454145476,a
431.22150921973065,210.26314176758927,a
423.69670008319537,233.15730443662045,a
416.8810047869914,217.45875960574068,a
403.33562014321706,236.3183663873271,a
419.64462322102963,221.8098130799578,a
432.5491033473795,235.909754759188,a
428.7470231958344,235.36334834102456,a
415.554120975994,255.25136573699788,a
435.6661454672887,254.44682974027512,a
421.9548778911628,255.33587595406973,a
441.00142811049034,235.15123703308785,a
405.72055740253415,248.96594476251167,a
424.26618892886614,236.78296424970256,a
425.2068277809668,248.42248076707358,a
408.6381015389586,256.42157272900954,a
427.56286670740843,244.72086485597086,a
434.7601903435635,245.89790274867795,a
428.1398451870538,277.8418209359653,a
414.29601285873275,263.38963915793465,a
414.5114669115772,276.5079046916211,a
416.96513787030466,289.140384485925,a
450.02743774144415,260.9005269050617,a
430.204012767371,283.37922971660987,a
439.89796541219664,294.53877178898864,a
443.04675933777895,289.113902531244,a
441.6869628149794,263.88949239320505,a
437.1817339920332,303.2731699021132,a
417.8332602652604,282.81099171051216,a
453.49265905784415,304.4419903986727,a
435.61973222625056,288.32921314095466,a
457.7048671392464,285.1427068860329,a
447.98631497210056,311.97745428978897,a
422.7151457303246,285.7109705036437,a
426.0216193716601,298.8387413637614,a
432.6774888081952,296.15085609487477,a
437.8937695203843,299.1423161169387,a
441.53711183985826,300.07492904849823,a
451.50558999308606,307.2093297855588,a
448.03246771322915,311.76201612109395,a
425.5865766229635,302.9457430768554,a
428.86378671234684,315.39592473127817,a
433.3031504074271,326.80871145218725,a
442.70160442971996,332.2356994294639,a
462.8155698361401,324.1086668687581,a
466.47396329631437,328.6970306288889,a
430.57149209123213,346.3997938355584,a
466.78256499809515,333.1231571266248,a
444.76890777780335,315.8135071921379,a
461.0232812671035,321.7766403527354,a
439.5070199080279,326.19249815693206,a
440.5533669429633,358.1427890383332,a
465.2593895417157,346.3214699582205,a
449.66871779170816,333.81717035332963,a
461.1072039777442,331.6988289365968,a
448.4931303595043,365.6129540520097,a
474.25809439082,345.9952888934963,a
440.74424787807357,342.0514086419246,a
468.651922481356,372.18640917000994,a
472.5614574243249,345.0766057429782,a
478.00164867864993,352.8240818231976,a
461.3074874428231,354.28321495278317,a
