,MedInc,HouseAge,AveRooms,Population,Latitude,Longitude,price
6441,-0.7993422613531507,-0.05272302221410649,-0.08394636163659994,-0.24724998671513437,1.837147055641252,-0.7511051950899393,False
1885,-1.0608193580157297,1.5133336276800178,-0.8540443918597728,0.6753201008758589,1.068345198142764,-1.1465784369235976,False
20181,-0.6938393992846144,0.06445034721291837,-0.4281892965692572,1.395495342530645,-0.7702685554985322,0.18308643478441122,True
7346,-0.8140034853943403,0.45028428274373516,-0.5659708749792385,1.6125439745041446,-0.8647052615677385,0.4879557562563947,False
4890,-0.9634811028377642,-0.35854572104964944,-0.09265907732353403,-0.13839801246892297,1.819513058675384,-1.0904127997280133,False
439,-0.9902135243152039,-0.6880720205696725,-0.8849957717848043,-0.20296217834120261,-1.0513259525134349,1.101420888243787,False
7416,-0.7604753210376421,1.990039309571355,0.13670209273415296,-0.641104186460248,0.1306498940617623,-0.32545138454063705,False
3907,-0.970590154029952,-0.40177326924242734,0.09672716520349645,-0.5986285671140402,0.5189127546737496,-0.5872670065023745,False
9368,-0.7136785387827514,-1.5934957338387779,-0.474005484235581,0.4391874098725746,-1.4677195956764684,0.8368686961892966,False
2649,-0.932396123343525,0.6171735181713951,0.10435440791555131,0.18136578987881882,0.5221654835930241,0.3520737657097729,False
11859,0.17385640490604393,0.36948604193086115,-0.10035812870693037,-0.03340786715666377,-1.273639322257273,1.021061019275535,True
17022,0.6241151418758384,0.7213843491319714,0.2722623172551902,-0.4439503573149106,-0.6902256126672461,1.1304546595975316,True
11495,1.25442981325915,0.7287154552123627,-0.10361056811879822,-0.6463781071425885,1.6088871228911612,-1.5464874963618338,True
74,-0.7533896738833523,1.584381445867342,-0.5697974551549829,0.8064331325418123,-0.625562752281172,0.7302444635543393,False
17717,0.5284226497215807,-1.2651566279165318,2.2961569954864802,-0.39022327190460854,1.1402220560370033,-0.2149443390898882,True
10714,-0.10054294375567568,0.31430121443259057,-0.41198237003177046,-0.6435197805490654,0.7862496472359453,-1.202188983938411,True
7706,-0.3257227943808406,-0.9021763009103803,0.01648586229407,-0.13070432359851245,-0.4821816546612961,1.2610924585665395,False
10857,0.14501749148016518,1.8273483662782215,-0.11690298541928612,0.03833912395068951,-0.6458366886222546,0.6449224854843277,True
477,-0.117323659510081,-1.8398930627625563,0.2751185391437072,-0.23167384730143592,-0.7973009867206307,1.3552861059665986,False
11901,-0.1471041373261548,1.0747465732312615,-0.8521945867335812,-0.8156577556678952,0.5914958739585684,-1.378555290687512,True
14757,0.905484884485163,-0.7403412002960383,1.3883674012651313,-1.0488154978271265,1.0947005051952108,-1.5042666572222316,True
19792,-0.8817796550863946,1.1662810466594733,-0.7252282865122426,0.7391420532889175,-1.3456769715308292,0.8749985058911018,True
