,V1,V6,V10,V12,V13,V14,V15,Class
1670,-0.3982046392906123,-0.5206725631568334,0.475183864131712,-0.8709323220670366,-0.7079958510361914,2.4594768845804214,0.5490785450293543,1
13379,2.4906596630936146,0.6773983291896282,0.8296853375347797,-0.03677695054290271,-1.3067862049011616,-0.8645913422033975,-1.0365460611134718,2
10234,-1.1625788508170714,-0.8116970885463141,0.3259771204602654,-0.61285760924023,-0.1291473397815482,-0.6510868300372317,-0.4177354293603013,2
4719,0.1935633284096252,0.45401079616660706,-0.9026526419901535,0.15314782983834213,-0.25642713006637274,-0.16896795895103245,-0.5517054937529012,1
7003,-0.5283181684597806,-0.4997328015205496,1.4845277493612579,-0.9036997054220964,1.3803265822262514,-0.6766193584702672,-0.5579118101365346,1
2831,-0.2738286388351283,0.33781432455561344,-0.20479091878395117,-0.31860485579063796,0.34545340791499435,-0.16475731024315649,0.003412699578160039,1
13014,-0.6886726592233161,-0.6834532894275781,1.9242407650008624,0.5812637856440903,-0.25154165121315925,-0.5135305541578006,-0.5217326995090737,2
11979,-0.12299458595102042,-0.7283757413647529,-0.372486569125402,-0.05365761135020958,-0.13792975440531005,-0.3770878999307986,1.7842594410024375,2
8610,-1.0763988589611717,2.482842530914454,0.038763583639566515,0.009433494917728547,-0.4364424255722238,-0.005991683363868183,-0.47452778363572146,2
519,0.49573458577521257,-1.2953283618739144,0.6771101500272542,-0.5409726264609692,-0.19571714628304687,-0.45031711986934486,-0.7363399091730929,1
13264,-1.452554748821755,-0.7583752431184976,-0.8814143059700598,-0.3403334234870364,-0.22611330712994088,0.10246649312671885,0.26518618608177913,2
7329,0.3452459150167272,-0.2210130679363212,2.0489322345286225,-0.784961359356878,-0.5247614796715995,-0.5429541890514435,-0.6282068215127654,1
452,-1.1146523068721257,-0.23238191098847613,1.3767894966220693,-1.0218096289526408,1.0554800198292102,-0.022811097714243223,-0.29394031733812875,1
12374,2.338668804502396,15.881646264024285,0.4540625336588774,0.15531786599856273,0.04932524219417561,1.7826522827354045,-0.023223818914794817,2
4067,0.40907895122854565,0.6765984371731313,-1.1983267125591808,-0.5684319469665251,-0.6620262598843006,1.6590201912521656,-0.24040650983344136,1
10783,0.5325577215422784,0.9010546674317588,-0.09509275787699588,2.596699681813507,0.49506653101026377,-0.5624021950463557,-0.17159289695157448,2
575,-0.5782740913846789,-0.3963580909502264,1.4323959670216846,-0.4292724057845746,0.27811740419800446,-0.6867438470768572,-0.10051411224203716,1
10280,0.03305012447334717,0.16847845579695836,-1.4493432046174308,-0.7163180439340379,-1.0964262353972747,-0.3156576814256675,0.1655891090382119,2
12986,-0.2035715121582497,1.3417427312234678,-1.2077991291797354,-0.7429886586531157,-0.5125014892282971,-0.5137235437764902,-0.5462008793464439,2
6183,2.3079639318941636,-0.5259215596505531,1.5894301095893544,0.45025766110430887,-1.073023472469492,-0.04910971493916316,-0.10801430264874395,1
11135,1.066251045033005,0.1488771382506355,1.3218573054455531,-0.8432967119842649,0.141608448976901,0.35379236344941334,3.6941243496520006,2
5890,-0.39747330683453397,1.572795918161856,0.808085852965822,0.8629686174727873,-0.8655392818784313,-0.7733370947223404,-0.19809166688431984,1
5073,-0.4846290720933567,-0.8469028638921163,0.7827252210142409,-1.2701340392587666,0.11309626455783155,-0.7473864656047471,-0.6743874883270896,1
