-1,CLG_RD,GT_RD,GT_SD,CLG,NF
Logl_mean,-1.833341590339936,-3.726432063363482,-3.4480326304143074,-3.5358747689172203,-3.6710428976559237
Logl_std,0.0347380913391373,0.007207082810960497,0.0,0.01487243960281126,0.1138560099683128
LoglStd_mean,0.9246030492779944,0.6299407495010366,0.92658265620361,1.0567644009982369,1.0516625861716538
LoglStd_std,0.04107208696987025,0.006247712789433146,0.0,0.07376830977519866,0.18096872944079556
Brier_mean,0.055754217844774384,0.504393637881192,0.5331590067353276,0.5496552859013228,0.6210499698201322
Brier_std,0.012584907641537264,0.0396550228927775,0.0,0.011018873025185949,0.0403414057566715
AUC_mean,0.9985038794367943,0.9389987522427803,0.7213048198355255,0.7011877905398269,0.5318603264561349
AUC_std,0.00040385927552666345,0.032739693498360756,0.0,0.007104667209788806,0.10936763301459787
Time_mean,7.140159368515015,0.5725281238555908,0.0,7.675227046012878,1.1076486110687256
Time_std,0.05945754051208496,0.0336453914642334,0.0,0.516398549079895,0.1034090518951416
params,BIC,"{'lr': 0.0005696733223175935, 'weight_decay': 0.024050860901515366, 'hidden_u': 5, 'layers': 4, 'n_flows': 4}","{'lr': 0.0005696733223175935, 'weight_decay': 0.024050860901515366, 'hidden_u': 5, 'layers': 4, 'n_flows': 4}",BIC,"{'lr': 0.00029531032761823735, 'weight_decay': 0.04222886085419278, 'hidden_u': 9, 'layers': 4, 'n_flows': 7}"
